Measured Depth m,Rate of Penetration m/h
500.0,39.99787551587504
500.05,40.06501328383387
500.1,40.13844771905401
500.15,40.2363086434524
500.2,40.367367808845344
500.25,40.51062060042428
500.3,40.67931135831899
500.35,40.86958590170444
500.4,41.08905669916359
500.45,41.279292305192065
500.5,41.4448355085487
500.55,41.599192054562685
500.6,41.71037632122929
500.65,41.763196933931624
500.7,41.7626174470076
500.75,41.659917174678846
500.8,41.51321239674088
500.85,41.29881213214104
500.9,41.00002084421535
500.95,40.753856275779825
501.0,40.5672805322449
501.05,40.39387782661387
501.1,39.92566759503492
501.15,39.07121869992987
501.2,37.50280196968868
501.25,36.00482451467052
501.3,34.50492215576641
501.35,33.020629451119746
501.4,32.16609774915911
501.45,31.872059380531237
501.5,32.13851434523675
501.55,32.61340477681546
501.6,33.62898099786814
501.65,35.28038503268619
501.7,37.746386485184395
501.75,40.28518816287614
501.8,42.98057849801136
501.85,45.69925645527967
501.9,47.81664179253441
501.95,49.332734509776245
502.0,50.24549297252174
502.05,50.953001951469176
502.1,51.463393561995495
502.15,51.77436874124356
502.2,52.01342623405149
502.25,52.188455867968955
502.3,52.21804712187482
502.35,52.21822310478784
502.4,52.21612021225053
502.45,52.21473420521323
502.5,52.21384053990711
502.55,52.213828099090776
502.6,52.20744471623364
502.65,52.193195839850276
502.7,52.17099350234575
502.75,52.12046653933347
502.8,52.04999450029237
502.85,51.95584333462072
502.9,51.796900457927244
502.95,51.61136216752516
503.0,51.40879730609862
503.05,51.196277940854344
503.1,50.98901684371149
503.15,50.790798970707094
503.2,50.601004301853465
503.25,50.44095401637811
503.3,50.3008888913781
503.35,50.18440703137812
503.4,50.13261966918033
503.45,50.10433474652119
503.5,50.09204701009595
503.55,50.088130710893395
503.6,50.08462524352498
503.65,50.08143210066784
503.7,50.07814451274028
503.75,50.07420275982277
503.8,50.06993873482277
503.85,50.067536273927246
503.9,50.066544429845614
503.95,50.06756333270276
504.0,50.06970296379958
504.05,50.073009780513125
504.1,50.077285017293306
504.15,50.08159232063064
504.2,50.085936400987784
504.25,50.08870590813064
504.3,50.09076330813064
504.35,50.089884089026164
504.4,50.085673510690214
504.45,50.0809447564045
504.5,50.076404577036996
504.55,50.07346423162435
504.6,50.07133561013711
504.65,50.07106223171314
504.7,50.07402719856096
504.75,50.07743206856097
504.8,50.080915372009244
504.85,50.08420370856096
504.9,50.08956215954998
504.95,50.09351875383569
505.0,50.09645934812141
505.05,50.09805803471525
505.1,50.09938052468546
505.15,50.100426818032034
505.2,50.098403873684205
505.25,50.09738642225564
505.3,50.096196375950214
505.35,50.094755707969924
505.4,50.092291591108754
505.45,50.088559484442094
505.5,50.08488301587066
505.55,50.08084613466766
505.6,50.07644719495474
505.65,50.07383868179685
505.7,50.07354277179685
505.75,50.075619592777656
505.8,50.08018466984533
505.85,50.08658267406078
505.9,50.094237539680734
505.95,50.10283033048533
506.0,50.110007644771045
506.05,50.11565515334247
506.1,50.11902739831855
506.15,50.11900500621329
506.2,50.11659300884487
506.25,50.11285976635146
506.3,50.10855621721556
506.35,50.10458712289021
506.4,50.097933334131426
506.45,50.089650181422066
506.5,50.08065177785063
506.55,50.071629697850625
506.6,50.064442834692734
506.65,50.05805807679799
506.7,50.054619072518065
506.75,50.05209995732737
506.8,50.05025274368132
506.85,50.04837618299756
506.9,50.0473427658547
506.95,50.04700788169886
507.0,50.04785324101259
507.05,50.05068608807141
507.1,50.05431579787533
507.15,50.059024155770075
507.2,50.06379465478684
507.25,50.06965445976081
507.3,50.07560338166557
507.35,50.07926230977015
507.4,50.08322546236274
507.45,50.086840575090015
507.5,50.09023293363343
507.55,50.09223745970894
507.6,50.09439894990502
507.65,50.095993201406245
507.7,50.09589307282978
507.75,50.094086584263536
507.8,50.09071895299916
507.85,50.08890543568824
507.9,50.088059371095646
507.95,50.08803324538137
508.0,50.088544148238505
508.05,50.08895427780688
508.1,50.089662444971054
508.15,50.09069323259001
508.2,50.09228213144512
508.25,50.09380445845015
508.3,50.095770221381194
508.35,50.098286907809765
508.4,50.09827877980977
508.45,50.097608219809764
508.5,50.096066802666904
508.55,50.094751719636335
508.6,50.09396227247216
508.65,50.09459062091178
508.7,50.0958767835567
508.75,50.09706381119551
508.8,50.09822871174295
508.85,50.09694420971593
508.9,50.09594707828736
508.95,50.09333160400165
509.0,50.09099480400165
509.05,50.08926855575809
509.1,50.085927081659726
509.15,50.08236316477661
509.2,50.07816048448464
509.25,50.074667917181365
509.3,50.07152650805183
509.35,50.07073735597437
509.4,50.07269741277608
509.45,50.078238796305484
509.5,50.08498119308617
509.55,50.091729368324266
509.6,50.09867256242263
509.65,50.10386287099405
509.7,50.108217156708335
509.75,50.111187236584854
509.8,50.1120772243923
509.85,50.1113763156919
509.9,50.10775727603305
509.95,50.102320395360785
510.0,50.095548970008664
510.05,50.08798799477057
510.1,50.08065029762771
510.15,50.073640070932626
510.2,50.068034501007816
510.25,50.0651756170938
510.3,50.06611826023687
510.35,50.06991421315803
510.4,50.075017436015166
510.45,50.080410944586596
510.5,50.08525871601517
510.55,50.08900340172946
510.6,50.09101956796322
510.65,50.0914557908488
510.7,50.09124113220218
510.75,50.0892111274889
510.8,50.08671658012048
510.85,50.0830377150042
510.9,50.08104780643278
510.95,50.0803859550042
511.0,50.08052861515458
511.05,50.08151062116961
511.1,50.08273820681555
511.15,50.08413565242958
511.2,50.08372466897093
511.25,50.08192061052632
511.3,50.07875208503612
511.35,50.075823614447884
511.4,50.07313519876161
511.45,50.06974229349846
511.5,50.06685070402477
511.55,50.06446043034056
511.6,50.064515090659896
511.65,50.06737584921253
511.7,50.07377715052832
511.75,50.081428776392976
511.8,50.088254901883175
511.85,50.09426470997141
511.9,50.09690565680522
511.95,50.096365190639816
512.0,50.09228756758217
512.05,50.08442950055746
512.1,50.07412794550128
512.15,50.06077454917775
512.2,49.07225659322503
512.25,46.8966749497573
512.3,43.494127235470714
512.35,39.46626898986267
512.4,35.39595945181856
512.45,31.295445512902297
512.5,27.458617673314176
512.55,23.98200310286557
512.6,20.87896231886563
512.65,18.100401783571435
512.7,16.35942991079279
512.75,15.86534400997488
512.8,16.63618320997575
512.85,18.02997006094094
512.9,19.466633842031065
512.95,20.947340174598093
513.0,22.184963275138596
513.05,23.081428843138212
513.1,23.614051898105895
513.15,23.819813019496344
513.2,23.95736240871158
513.25,23.999227958711494
513.3,23.920952128442742
513.35,23.818752300437126
513.4,23.671379206243575
513.45,23.43458347291025
513.5,23.114533910557252
513.55,22.738669790557275
513.6,22.345021126862264
513.65,21.94588367958953
513.7,21.53840751553421
513.75,21.188761194899314
513.8,20.94653982516798
513.85,20.765550397042112
513.9,20.647355071024425
513.95,20.62354780337447
514.0,20.740976485727558
514.05,20.953411788430248
514.1,21.222571051745764
514.15,21.557668171745767
514.2,21.92140156071325
514.25,22.26879180808084
514.3,22.61489402236668
514.35,22.912729402307686
514.4,23.18100316832537
514.45,23.419196450312235
514.5,23.582072058822792
514.55,23.701038176120086
514.6,23.80172477219845
514.65,23.896141926793067
514.7,24.00842340639702
514.75,24.155460495664393
514.8,24.311500315664322
514.85,24.49591686488806
514.9,24.705137860182198
514.95,24.96114982695644
515.0,25.256014603445813
515.05,25.581173165263998
515.1,25.95330445288304
515.15,26.323164754288445
515.2,26.705387340955088
515.25,27.08853052883855
515.3,27.44586946709101
515.35,27.801702451200605
515.4,28.16286893590647
515.45,28.48978102404597
515.5,28.776281233640542
515.55,29.028536880393794
515.6,29.207997909240675
515.65,29.341738053240647
515.7,29.433477014160236
515.75,29.485481546276723
515.8,29.53383344002429
515.85,29.57342841145286
515.9,29.5981875499144
515.95,29.626257503402776
516.0,29.657122902408183
516.05,29.681660347436754
516.1,29.70240751790422
516.15,29.720936522555387
516.2,29.734860206969177
516.25,29.74766224239775
516.3,29.75873874965701
516.35,29.76626585822844
516.4,29.77316647506102
516.45,29.777420443433112
516.5,29.77789137442327
516.55,29.7768602909872
516.6,29.773611151340695
516.65,29.765087206689532
516.7,29.750878591832397
516.75,29.7276158204038
516.8,29.69776329447788
516.85,29.66144891447788
516.9,29.618578976006194
516.95,29.579872604417403
517.0,29.54704247982724
517.05,29.525237676329965
517.1,29.481290727241333
517.15,29.41879285493365
517.2,29.320317268379057
517.25,29.199358931670208
517.3,29.066873281881165
517.35,28.909863181881157
517.4,28.74450354884251
517.45,28.562453440431305
517.5,28.36352064043131
517.55,28.123722032143036
517.6,27.88771106727819
517.65,27.65777023610761
517.7,27.46418081744242
517.75,27.298120863766677
517.8,27.136987351650923
517.85,26.982099524623912
517.9,26.82819840750679
517.95,26.67292457893536
518.0,26.518436523762926
518.05,26.384420821246607
518.1,26.24683710306478
518.15,26.107981728361217
518.2,25.989559220438146
518.25,25.88796920663671
518.3,25.894694348461137
518.35,25.973694320066393
518.4,26.13892132006648
518.45,26.378577261681368
518.5,26.66682298685385
518.55,27.00317399099179
518.6,27.386314553788985
518.65,27.78727695615686
518.7,28.171579464156856
518.75,28.543139224039106
518.8,28.82094143736842
518.85,29.056825846636332
518.9,29.230265089969578
518.95,29.350741065298212
519.0,29.442660756588488
519.05,29.505929616588485
519.1,29.5496162879731
519.15,29.595547119787057
519.2,29.642989217040785
519.25,29.68927570134458
519.3,29.732388346855327
519.35,29.76780669300917
519.4,29.791450578358013
519.45,29.80770421556731
519.5,29.816649702276987
519.55,29.817336010276982
519.6,29.815280642276992
519.65,29.812580760822442
519.7,29.80978729156871
519.75,29.807818283568714
519.8,29.807479961475686
519.85,29.808746786475687
519.9,29.811754051653168
519.95,29.816216413028293
520.0,29.820949912854378
520.05,29.824834367418482
520.1,29.827226902275623
520.15,29.828595989125525
520.2,29.829140376102266
520.25,29.82904197351403
520.3,29.82872858233756
520.35,29.828361963219912
520.4,29.828847421060942
520.45,29.82857641410442
520.5,29.827994580564045
520.55,29.827055787090853
520.6,29.823025460233715
520.65,29.815825528069126
520.7,29.804369301092397
520.75,29.790888334945937
520.8,29.775027757755055
520.85,29.75403361187271
520.9,29.73545117921965
520.95,29.720058424801046
521.0,29.708484733372472
521.05,29.70335162428156
521.1,29.705084897951885
521.15,29.711755663666178
521.2,29.722091418471365
521.25,29.732878988539387
521.3,29.742371555555387
521.35,29.754639755555377
521.4,29.762593584126808
521.45,29.767135458545415
521.5,29.77088444048827
521.55,29.770130365288274
521.6,29.767824880417947
521.65,29.766809490589168
521.7,29.76700340347628
521.75,29.76934867014295
521.8,29.7727547414943
521.85,29.7763158214943
521.9,29.77993434123844
521.95,29.783660884095582
522.0,29.78428443439762
522.05,29.782507370062735
522.1,29.775773525262743
522.15,29.763607885146463
522.2,29.74836579173987
522.25,29.728358211739867
522.3,29.70570958930084
522.35,29.68153075575246
522.4,29.637757255055952
522.45,29.55104616625288
522.5,29.43075817234483
522.55,29.286319564511285
522.6,29.12394538556393
522.65,28.942080550037605
522.7,28.74948017023464
522.75,28.56625446747603
522.8,28.392337569915053
522.85,28.222490616094994
522.9,28.03020103012999
522.95,27.838881618181166
523.0,27.639712256987117
523.05,27.42551940435552
523.1,27.192644183302896
523.15,26.952963099092397
523.2,26.76014072776752
523.25,26.59571703157879
523.3,26.459331063157727
523.35,26.35259090526298
523.4,26.319143115789394
523.45,26.355127708466757
523.5,26.415698978032015
523.55,26.499240682379856
523.6,26.562331742379843
523.65,26.64173487387341
523.7,26.67731234718612
523.75,26.66576837184774
523.8,26.63578434026881
523.85,26.58884460553199
523.9,26.52494916763721
523.95,26.445394672314062
524.0,26.391621366385237
524.05,26.364609902037415
524.1,26.39758626021923
524.15,26.440935859826112
524.2,26.48912892335553
524.25,26.53613251400488
524.3,26.556026343194077
524.35,26.54841650319411
524.4,26.504702691302242
524.45,26.44027244327136
524.5,26.356339759635
524.55,26.247057152067434
524.6,26.130457569179736
524.65,26.006976623725187
524.7,25.88031092049938
524.75,25.766543550802417
524.8,25.663540921613226
524.85,25.582286783431368
524.9,25.54176022532325
524.95,25.531158991037515
525.0,25.553768377704188
525.05,25.59947300040688
525.1,25.660704673684187
525.15,25.721103102775107
525.2,25.777407236271188
525.25,25.823843646527592
525.3,25.868929333014087
525.35,25.91197679119591
525.4,25.941927613087806
525.45,25.95986799594497
525.5,25.958167889278293
525.55,25.952131201710728
525.6,25.948501178853586
525.65,25.96312548285358
525.7,25.99865518591663
525.75,26.056850020572504
525.8,26.122928551686016
525.85,26.18647160676798
525.9,26.23822170406528
525.95,26.27230511739861
526.0,26.29481253793915
526.05,26.319252441424208
526.1,26.341447505709915
526.15,26.367200551980197
526.2,26.384917436828687
526.25,26.37534992524972
526.3,26.34527944098304
526.35,26.28692532367885
526.4,26.226528063791978
526.45,26.1666464566125
526.5,26.10326413687194
526.55,26.022706134910216
526.6,25.923385784910227
526.65,25.794138914639944
526.7,25.64002801410519
526.75,25.48417636005113
526.8,25.31613149944507
526.85,25.18729929147862
526.9,25.072615048214047
526.95,24.980428210060214
527.0,24.902277513966116
527.05,24.83702014184491
527.1,24.78339799589896
527.15,24.768910638004236
527.2,24.80205142562033
527.25,24.876204648095474
527.3,24.988460151838794
527.35,25.095156840850994
527.4,25.205056015989715
527.45,25.317023728919914
527.5,25.44399348313295
527.55,25.590010386163254
527.6,25.806380629406515
527.65,26.022416677545152
527.7,26.247299307765843
527.75,26.458344451539894
527.8,26.65639478551707
527.85,26.84259475952938
527.9,27.02674586045817
527.95,27.206451855317408
528.0,27.381246525872164
528.05,27.54291075253883
528.1,27.636175351241512
528.15,27.710636790727328
528.2,27.755456738964426
528.25,27.79162277676931
528.3,27.830837147090772
528.35,27.868307471674306
528.4,27.891446344163647
528.45,27.895359548374195
528.5,27.853580558900433
528.55,27.78364338702827
528.6,27.680534208675322
528.65,27.543303702475004
528.7,27.411881603369448
528.75,27.2868803175555
528.8,27.173773303452926
528.85,27.074014663680618
528.9,26.98742959908602
528.95,26.92018817908603
529.0,26.894627741111428
529.05,26.895064104038443
529.1,26.934477840936843
529.15,27.006304857407436
529.2,27.070476459458725
529.25,27.10829859527262
529.3,27.085332647524886
529.35,27.02191967987784
529.4,26.93337613798595
529.45,26.832361063700233
529.5,26.72342015596062
529.55,26.61097641715803
529.6,26.499084659356754
529.65,26.395378152690085
529.7,26.304872256932516
529.75,26.221950181256894
529.8,26.17614986233796
529.85,26.14807941519503
529.9,26.173903420933065
529.95,26.227539993358334
530.0,26.330138939072622
530.05,26.459390479331763
530.1,26.59522023464235
530.15,26.745277544787303
530.2,26.854102378202537
530.25,26.95008966468899
530.3,27.025451464688995
530.35,27.092719484908844
530.4,27.110907218121508
530.45,27.092539667254677
530.5,26.99116648238977
530.55,26.835052043856898
530.6,26.631304767802142
530.65,26.373566851596582
530.7,26.12634933808307
530.75,25.889918735967928
530.8,25.732785869301306
530.85,25.63869645391667
530.9,25.594258406857836
530.95,25.632356422287792
531.0,25.749983244361992
531.05,25.938152343716773
531.1,26.18515616771676
531.15,26.449920177286128
531.2,26.712638006475306
531.25,26.95525197959784
531.3,27.143136694913114
531.35,27.282711648759282
531.4,27.401604243353876
531.45,27.48285898065121
531.5,27.558259527225697
531.55,27.624675447225734
531.6,27.677521176955445
531.65,27.75651688811336
531.7,27.864908848113366
531.75,28.00888550439044
531.8,28.16209028799986
531.85,28.33479284406139
531.9,28.497000627066814
531.95,28.627793964666814
532.0,28.727226289973924
532.05,28.78572248997392
532.1,28.824867744859603
532.15,28.848274606859594
532.2,28.86596668378267
532.25,28.88651298568744
532.3,28.914132882660148
532.35,28.93580456906014
532.4,28.9594403961113
532.45,28.985923858511306
532.5,29.004844549420397
532.55,29.030828749420397
532.6,29.061903222869528
532.65,29.090827922996105
532.7,29.112175646073034
532.75,29.11894220607303
532.8,29.114896376842257
532.85,29.100997877842264
532.9,29.082062473191094
532.95,29.065932173656204
533.0,29.056788173656212
533.05,29.057391000322877
533.1,29.05948918132812
533.15,29.06668404320154
533.2,29.07689484320154
533.25,29.09961750599224
533.3,29.12609700599224
533.35,29.15836942956367
533.4,29.189051343487726
533.45,29.20982051897198
533.5,29.222466730736677
533.55,29.210738704070017
533.6,29.188958971977
533.65,29.156010599976998
533.7,29.11609361393048
533.75,29.07041141858165
533.8,29.016436418581645
533.85,28.945465071870693
533.9,28.86469097127998
533.95,28.77373273533061
534.0,28.6648672595659
534.05,28.560265995565896
534.1,28.454741715255814
534.15,28.363876430445693
534.2,28.28775078358081
534.25,28.226034690557572
534.3,28.187902940557557
534.35,28.182683063348236
534.4,28.205032100014886
534.45,28.26052554745675
534.5,28.346328271456763
534.55,28.452849775456762
534.6,28.592319776616176
534.65,28.73976551527246
534.7,28.8911410942708
534.75,29.053897066911002
534.8,29.213440816911014
534.85,29.368906430441662
534.9,29.53393150044168
534.95,29.691575416478067
535.0,29.852648216943198
535.05,30.024608756943195
535.1,30.18014231051245
535.15,30.3294352066663
535.2,30.461677047556087
535.25,30.563332475846096
535.3,30.642378838923015
535.35,30.699204906455503
535.4,30.730283493325725
535.45,30.7467750043513
535.5,30.754258907607102
535.55,30.74557537332139
535.6,30.736537698902783
535.65,30.73175730344824
535.7,30.74112980218579
535.75,30.765478005906733
535.8,30.803352922829816
535.85,30.848332289208553
535.9,30.891574811175538
535.95,30.930224123338387
536.0,30.952451840547685
536.05,30.96138116413572
536.1,30.952315923825648
536.15,30.94282278928021
536.2,30.931944611258224
536.25,30.924752360759896
536.3,30.923612550527338
536.35,30.928787896081378
536.4,30.945581667244163
536.45,30.973751960577488
536.5,31.015705199647254
536.55,31.068928950344933
536.6,31.13374901411305
536.65,31.188534636970182
536.7,31.23495365951043
536.75,31.269849040241308
536.8,31.29360501047386
536.85,31.3122870272268
536.9,31.32144427940072
536.95,31.324167159400723
537.0,31.324555602191417
537.05,31.32260488219142
537.1,31.321962151756633
537.15,31.322375808899494
537.2,31.32351691866694
537.25,31.32546721336461
537.3,31.327364061736706
537.35,31.328979912554097
537.4,31.32944018895161
537.45,31.328914046094475
537.5,31.327398569018055
537.55,31.325082089018053
537.6,31.32267681945284
537.65,31.32028921945284
537.7,31.31832940270865
537.75,31.316733526615632
537.8,31.31734335344354
537.85,31.318804763426147
537.9,31.320898870054712
537.95,31.323112456390117
538.0,31.32491146835025
538.05,31.326081319778826
538.1,31.326038882473814
538.15,31.32574610384786
538.2,31.325133230210366
538.25,31.324366376216425
538.3,31.32185686566759
538.35,31.319161504753303
538.4,31.31672449812474
538.45,31.314791428272848
538.5,31.313870530598432
538.55,31.314177404067824
538.6,31.316038957091894
538.65,31.31840128354393
538.7,31.32100953392561
538.75,31.322867997221874
538.8,31.32383095257071
538.85,31.324291831773373
538.9,31.32441375177337
538.95,31.32448831210048
539.0,31.324713283529054
539.05,31.324863610059662
539.1,31.32511661041745
539.15,31.324979494591368
539.2,31.324351464823923
539.25,31.32404241180066
539.3,31.32378671846733
539.35,31.32419146451384
539.4,31.324576869430786
539.45,31.3251543354773
539.5,31.325687229165005
539.55,31.326142741457364
539.6,31.326763761612405
539.65,31.3265248669618
539.7,31.326273995524424
539.75,31.3256319344153
539.8,31.325818201081965
539.85,31.325857299642315
539.9,31.325790846153943
539.95,31.32457578103767
540.0,31.322306615921388
540.05,31.318998261930187
540.1,31.315264362322342
540.15,31.3126020390906
540.2,31.31063614029541
540.25,31.311133598613843
540.3,31.31290192242336
540.35,31.31602471676056
540.4,31.317374781977954
540.45,31.31849422356482
540.5,31.31952292356482
540.55,31.32001719383509
540.6,31.320415226776266
540.65,31.320723612658618
540.7,31.322748839325282
540.75,31.324185297929933
540.8,31.32499809792994
540.85,31.324754112556327
540.9,31.325200063618002
540.95,31.325600487147415
541.0,31.3253827728617
541.05,31.32584930347395
541.1,31.326004813678026
541.15,31.326235722768935
541.2,31.324914607730175
541.25,31.322973585911996
541.3,31.320764207838902
541.35,31.318331853803336
541.4,31.31705884661518
541.45,31.316809464796997
541.5,31.31779981164085
541.55,31.31923379867566
541.6,31.320733423355307
541.65,31.321980439845795
541.7,31.32269308377344
541.75,31.32288509147397
541.8,31.322357866949666
541.85,31.321326002497834
541.9,31.319794171667798
541.95,31.318049290628835
542.0,31.31626148745845
542.05,31.31463215216433
542.1,31.314318137280612
542.15,31.3151403884434
542.2,31.317056112887844
542.25,31.31890284229961
542.3,31.320779631232416
542.35,31.32242837563396
542.4,31.323947011658806
542.45,31.325241888469435
542.5,31.32636373908168
542.55,31.32812455672874
542.6,31.329312567891527
542.65,31.330145057814015
542.7,31.32095994525588
542.75,31.30738971554315
542.8,31.28437643206488
542.85,31.238917695091924
542.9,31.180084037949065
542.95,31.102139943995592
543.0,30.996986991995595
543.05,30.882593519995606
543.1,30.75916851683283
543.15,30.63246374581833
543.2,30.512747486947898
543.25,30.396404955652223
543.3,30.370871424223623
543.35,30.401338641284802
543.4,30.470144649448095
543.45,30.752069409448023
543.5,31.16847165235721
543.55,31.726332191023822
543.6,32.45779749635708
543.65,33.28041316070487
543.7,34.208040161224304
543.75,35.20760435155397
543.8,36.12683453836719
543.85,37.01462317985145
543.9,37.879286869647345
543.95,38.5507815896474
544.0,39.11581875207155
544.05,39.54856137429381
544.1,39.81648033646616
544.15,39.99609640792688
544.2,40.07220563676704
544.25,40.077085872841316
544.3,40.080533842911244
544.35,40.08118436998741
544.4,40.07971749764399
544.45,40.077159024916725
544.5,40.07321910537649
544.55,40.068884412232286
544.6,40.06446514013092
544.65,40.0607168293599
544.7,40.05815361901507
544.75,40.05673744559814
544.8,40.057064121196234
544.85,40.05927760575643
544.9,40.06253791472194
544.95,40.066993657014436
545.0,40.07222709507319
545.05,40.0771307916362
545.1,40.080996026852624
545.15,40.08342656798116
545.2,40.084642447667676
545.25,40.084301933728284
545.3,40.082311327221106
545.35,40.07925136931515
545.4,40.07538702464983
545.45,40.071398488417955
545.5,40.067857215876444
545.55,40.06495463785446
545.6,40.062213762870144
545.65,40.05941567248053
545.7,40.05683318520781
545.75,40.05590447946068
545.8,40.05608874491522
545.85,40.05773456936663
545.9,40.060832622307814
545.95,40.06406855454824
546.0,40.0679662502379
546.05,40.070279299588556
546.1,40.072383343224914
546.15,40.07421346270543
546.2,40.0766324663418
546.25,40.078511271745285
546.3,40.07989449813704
546.35,40.08051310359158
546.4,40.08031837025825
546.45,40.079811426113054
546.5,40.07855603111305
546.55,40.078480292931225
546.6,40.079476665658504
546.65,40.080847261705934
546.7,40.08127767625139
546.75,40.080758074030925
546.8,40.07876524763917
546.85,40.07559044208894
546.9,40.071615525152
546.95,40.06760884008706
547.0,40.06369216008706
547.05,40.06003698463252
547.1,40.05737969639722
547.15,40.05612363125888
547.2,40.056457987622515
547.25,40.05884754146867
547.3,40.062849386174555
547.35,40.06797454415522
547.4,40.07356014032713
547.45,40.078734276056515
547.5,40.083443908614655
547.55,40.08762432528132
547.6,40.090584797152985
547.65,40.092624186243896
547.7,40.093696181698434
547.75,40.09340795570374
547.8,40.092713190997856
547.85,40.09100898765835
547.9,40.08786468721125
547.95,40.083219440699615
548.0,40.07744577905057
548.05,40.07187055602027
548.1,40.06643818874754
548.15,40.06181552069559
548.2,40.05867279621283
548.25,40.056702593147705
548.3,40.0566263931477
548.35,40.057254465874976
548.4,40.059452720420424
548.45,40.063566489384485
548.5,40.069134631202665
548.55,40.0748413184754
548.6,40.08071980211176
548.65,40.08585785925462
548.7,40.08965209373737
548.75,40.092329818181824
548.8,40.09300037818182
548.85,40.0935150404769
548.9,40.09372605586152
548.95,40.092118004952425
549.0,40.088824317679695
549.05,40.083578986770604
549.1,40.0777457453913
549.15,40.07177405597953
549.2,40.065682837156004
549.25,40.06113946988327
549.3,40.057770378848794
549.35,40.05605683655371
549.4,40.05476239571455
549.45,40.0548907811691
549.5,40.056358439350916
549.55,40.059962468441825
549.6,40.06455988436659
549.65,40.070074373778354
549.7,40.076409432601885
549.75,40.081539493692794
549.8,40.08633880011189
549.85,40.08897024011189
549.9,40.09072895522161
549.95,40.09190362957897
550.0,40.09158420175656
550.05,40.0900084781202
550.1,40.086943236908084
550.15,40.08282843690807
550.2,40.078012596908074
550.25,40.0728742230899
550.3,40.06807642952346
550.35,40.06466534320767
550.4,40.06254626407882
550.45,40.061493809279185
550.5,40.062223331647054
550.55,40.06395514982887
550.6,40.066525032181815
550.65,40.06898190490909
550.7,40.071040409256916
550.75,40.07412333425692
550.8,40.07703641319823
550.85,40.07987403824819
550.9,40.08287230772188
550.95,40.085897840891406
551.0,40.089120408164135
551.05,40.09215576145085
551.1,40.094067054855486
551.15,40.09539247303731
551.2,40.09516863022794
551.25,40.093068422469315
551.3,40.08935070589587
551.35,40.084461319888966
551.4,40.07908437079805
551.45,40.07353383380746
551.5,40.0678185772418
551.55,40.06190979122782
551.6,40.05696899642262
551.65,40.05280570551353
